"","country","Category","gdp_ppp_pc_usd2011","population","gdp_quintile","tot_pop","tot_gdp","cum_pop","GCAM_region_ID","sce","year","d1_cutoff","d2_cutoff","d3_cutoff","d4_cutoff","d5_cutoff","d6_cutoff","d7_cutoff","d8_cutoff","d9_cutoff","category","max_cum_pop","shortfall"
"252","NH",NA,NA,15.04,NA,4484.96,NA,2156.1,1,"SSP5",2036,448.5,896.99,1345.49,1793.98,2242.48,2690.98,3139.47,3587.97,4036.46,"d5",2156.1,86.3800000000001
"253","SD",NA,NA,9.94,NA,4328.13,NA,2593.49,1,"SSP2",2036,432.81,865.63,1298.44,1731.25,2164.06,2596.88,3029.69,3462.5,3895.32,"d6",2593.49,3.39000000000033
"254","SD",NA,NA,9.51,NA,4120.73,NA,2465.92,1,"SSP3",2036,412.07,824.15,1236.22,1648.29,2060.36,2472.44,2884.51,3296.58,3708.66,"d6",2465.92,6.51999999999998
"255","SD",NA,NA,10.38,NA,4484.96,NA,2616.71,1,"SSP5",2036,448.5,896.99,1345.49,1793.98,2242.48,2690.98,3139.47,3587.97,4036.46,"d6",2616.71,74.27
"256","AL",NA,NA,53.14,NA,4347.31,NA,843.79,1,"SSP2",2037,434.73,869.46,1304.19,1738.92,2173.66,2608.39,3043.12,3477.85,3912.58,"d2",843.79,25.6700000000001
"257","AL",NA,NA,50.32,NA,4118.67,NA,795.59,1,"SSP3",2037,411.87,823.73,1235.6,1647.47,2059.34,2471.2,2883.07,3294.94,3706.8,"d2",795.59,28.14
"258","AR",NA,NA,35.6,NA,4521.46,NA,881.84,1,"SSP5",2037,452.15,904.29,1356.44,1808.58,2260.73,2712.88,3165.02,3617.17,4069.31,"d2",881.84,22.4499999999999
"259","FL",NA,NA,243.27,NA,4347.31,NA,1291.58,1,"SSP2",2037,434.73,869.46,1304.19,1738.92,2173.66,2608.39,3043.12,3477.85,3912.58,"d3",1291.58,12.6100000000001
"260","HI",NA,NA,13.89,NA,4118.67,NA,1232.28,1,"SSP3",2037,411.87,823.73,1235.6,1647.47,2059.34,2471.2,2883.07,3294.94,3706.8,"d3",1232.28,3.31999999999994
"261","ID",NA,NA,24.14,NA,4521.46,NA,1338.77,1,"SSP5",2037,452.15,904.29,1356.44,1808.58,2260.73,2712.88,3165.02,3617.17,4069.31,"d3",1338.77,17.6700000000001
"262","MA",NA,NA,71.68,NA,4347.31,NA,1712.28,1,"SSP2",2037,434.73,869.46,1304.19,1738.92,2173.66,2608.39,3043.12,3477.85,3912.58,"d4",1712.28,26.6400000000001
"263","MA",NA,NA,68.06,NA,4118.67,NA,1617.98,1,"SSP3",2037,411.87,823.73,1235.6,1647.47,2059.34,2471.2,2883.07,3294.94,3706.8,"d4",1617.98,29.49
"264","ME",NA,NA,14.63,NA,4521.46,NA,1782.24,1,"SSP5",2037,452.15,904.29,1356.44,1808.58,2260.73,2712.88,3165.02,3617.17,4069.31,"d4",1782.24,26.3399999999999
"265","NH",NA,NA,14.48,NA,4347.31,NA,2161.77,1,"SSP2",2037,434.73,869.46,1304.19,1738.92,2173.66,2608.39,3043.12,3477.85,3912.58,"d5",2161.77,11.8899999999999
